Category,Sub-Category,Product Name,Price,URL
Cheese Lovers,Quesos,Holland Master Cabra Curado Cu√±a Ya Cortado 175g,"C6,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Quesos,Holland Master Gouda Viejo Cu√±a Ya Cortado 175g,"C4,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Tomate cherry BIO 250g,"C1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Almendras BIO 200g,"C5,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Patatas Fritas Lay's Gourmet 180g,"C2,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Paleta ib√©rica de cebo lonchas 100g,"C7,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Cristallino Pan Cristal Saint Honor√© 6u 285g,"C1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Cristallino 50% Integral 6u 285g,"C2,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas Redondas 100g,"C1,79",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas Integrales 100g,"C1,79",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Tostaditas Finas Hierbas 90g,"C1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas rectangulares 100g,"C1,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Vino Cune tinto Rioja Reserva 75cl,"C11,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Azpilicueta vino tinto crianza Rioja 75cl,"C8,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Campo Viejo Tinto Reserva 2015 75Cl,"C9,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Alcorta Crianza 2016 75cl,"C6,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Quesos,Holland Master Cabra Curado Cu√±a Ya Cortado 175g,"C6,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Quesos,Holland Master Gouda Viejo Cu√±a Ya Cortado 175g,"C4,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Tomate cherry BIO 250g,"C1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Almendras BIO 200g,"C5,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Patatas Fritas Lay's Gourmet 180g,"C2,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Paleta ib√©rica de cebo lonchas 100g,"C7,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Cristallino Pan Cristal Saint Honor√© 6u 285g,"C1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Cristallino 50% Integral 6u 285g,"C2,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas Redondas 100g,"C1,79",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas Integrales 100g,"C1,79",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Tostaditas Finas Hierbas 90g,"C1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas rectangulares 100g,"C1,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Vino Cune tinto Rioja Reserva 75cl,"C11,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Azpilicueta vino tinto crianza Rioja 75cl,"C8,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Campo Viejo Tinto Reserva 2015 75Cl,"C9,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Alcorta Crianza 2016 75cl,"C6,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Quesos,Holland Master Cabra Curado Cu√±a Ya Cortado 175g,"6,29 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Quesos,Holland Master Gouda Viejo Cu√±a Ya Cortado 175g,"4,69 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Para acompa√±ar,Pan Baguette Barra de la Huerta 280g,"1,29 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Para acompa√±ar,La Vieja F√°brica mermelada frambuesa 350g,"1,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Azpilicueta vino tinto crianza Rioja 75cl,"8,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Campo Viejo Tinto Reserva 2015 75Cl,"9,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Alcorta Crianza 2016 75cl,"6,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Vino tinto Emilio Moro 75cl,"21,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Blanco,Vinio Blanco Alcorta Verdejo 2019 75Cl,"5,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Blanco,Azpilicueta Blanco 2019 75cl,"7,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Quesos,Holland Master Cabra Curado Cu√±a Ya Cortado 175g,"6,29 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Quesos,Holland Master Gouda Viejo Cu√±a Ya Cortado 175g,"4,69 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Para acompa√±ar,Pan Baguette Barra de la Huerta 280g,"1,29 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Para acompa√±ar,La Vieja F√°brica mermelada frambuesa 350g,"1,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Azpilicueta vino tinto crianza Rioja 75cl,"8,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Campo Viejo Tinto Reserva 2015 75Cl,"9,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Alcorta Crianza 2016 75cl,"6,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Vino tinto Emilio Moro 75cl,"21,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Blanco,Vinio Blanco Alcorta Verdejo 2019 75Cl,"5,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Blanco,Azpilicueta Blanco 2019 75cl,"7,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Tres Quesos 150g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Emmental 150g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Mozzarella 150g,"Ä1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Ternera carne picada 400g,"Ä4,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Guacamole fresco 200g,"Ä2,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Tomate Verde ensalada 850g,"Ä2,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Cilantro bandeja 45g,"Ä1,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Pimiento california rojo ECO 400g,"Ä3,39",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Pimiento italiano ECO 500g,"Ä2,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Para beber,Heineken cerveza 8x33cl,"Ä6,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Tres Quesos 150g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Emmental 150g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Mozzarella 150g,"Ä1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Ternera carne picada 400g,"Ä4,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Guacamole fresco 200g,"Ä2,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Tomate Verde ensalada 850g,"Ä2,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Cilantro bandeja 45g,"Ä1,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Pimiento california rojo ECO 400g,"Ä3,39",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Pimiento italiano ECO 500g,"Ä2,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Para beber,Heineken cerveza 8x33cl,"Ä6,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Emmental 150g,"1,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Tres Quesos 150g,"1,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Pasta,Pasta Gallo integral helices 500g,"1,59 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Pasta,Gallo pasta tallar√≠n 500g,"1,09 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Pasta,Barilla Spaghetti Sin Gluten 400g,"2,69 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Salsas,Salsa Bolognesa Vegana,"2,89 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Salsas,Knorr salsa carbonara 300g,"2,79 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Salsas,Barilla salsa Sugo Napoletana 400g,"2,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Emmental 150g,"1,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Tres Quesos 150g,"1,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Pasta,Pasta Gallo integral helices 500g,"1,59 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Pasta,Gallo pasta tallar√≠n 500g,"1,09 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Pasta,Barilla Spaghetti Sin Gluten 400g,"2,69 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Salsas,Salsa Bolognesa Vegana,"2,89 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Salsas,Knorr salsa carbonara 300g,"2,79 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Salsas,Barilla salsa Sugo Napoletana 400g,"2,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923186/
Cheese Lovers,Queso,Mill√°n Vicente Queso Rallado Mozzarella 150g,"Ä1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Queso,Mill√°n Vicente Queso Rallado Tres Quesos 150g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Masa de pizza Casa Tarradellas 435g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Tomate frito Ecol√≥gico 340g,"Ä2,67",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Salsa tomate frito ECO 350g,"Ä2,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Sol√≠s sofrito casero 340g,"Ä1,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Oregano hoja Gourmet 8g,"Ä0,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Jam√≥n cocido extra Duroc lonchas artesanas 100g,"Ä2,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,El Pozo jam√≥n cocido 2x90g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Campofr√≠o lonchas jam√≥n cocido extrajugoso 2x100g,"Ä2,00",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Champi√±√≥n laminado 200g,"Ä1,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,La Espa√±ola aceituna negra con hueso 185g,"Ä1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,R√∫cula BIO 300g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Jam√≥n serrano Duroc lonchas artesanas 100g,"Ä4,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Navidul jam√≥n serrano 138g,"Ä3,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Queso,Mill√°n Vicente Queso Rallado Mozzarella 150g,"Ä1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Queso,Mill√°n Vicente Queso Rallado Tres Quesos 150g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Masa de pizza Casa Tarradellas 435g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Tomate frito Ecol√≥gico 340g,"Ä2,67",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Salsa tomate frito ECO 350g,"Ä2,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Sol√≠s sofrito casero 340g,"Ä1,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Para la base,Oregano hoja Gourmet 8g,"Ä0,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Jam√≥n cocido extra Duroc lonchas artesanas 100g,"Ä2,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,El Pozo jam√≥n cocido 2x90g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Campofr√≠o lonchas jam√≥n cocido extrajugoso 2x100g,"Ä2,00",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Champi√±√≥n laminado 200g,"Ä1,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,La Espa√±ola aceituna negra con hueso 185g,"Ä1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,R√∫cula BIO 300g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Jam√≥n serrano Duroc lonchas artesanas 100g,"Ä4,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Toppings,Navidul jam√≥n serrano 138g,"Ä3,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923118/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Edam En Lonchas 100g,1 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Gouda En Lonchas 100G,1 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso en Lonchas Gouda 150g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso en Lonchas Havarti 150g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso en Lonchas Gouda BIO 125g,3 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Pan,Bimbo pan de molde Estilo Artesano 550g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Pan,Bimbo pan de molde Corteza Tierna 460g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Pan,Bimbo Rebanada estilo Artesano Brioche 550g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Pan,Bimbo pan de molde blanco 100% natural 460g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,Jam√≥n cocido extra Duroc lonchas artesanas 100g,3 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,NEXT Bacon 200g,6 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,El Pozo sobrasada tarrina 250g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,Asturiana mantequilla tarrina 250g,3 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,Knorr salsa pesto 185g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Edam En Lonchas 100g,1 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Gouda En Lonchas 100G,1 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso en Lonchas Gouda 150g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso en Lonchas Havarti 150g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Mill√°n Vicente Queso en Lonchas Gouda BIO 125g,3 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Pan,Bimbo pan de molde Estilo Artesano 550g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Pan,Bimbo pan de molde Corteza Tierna 460g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Pan,Bimbo Rebanada estilo Artesano Brioche 550g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Pan,Bimbo pan de molde blanco 100% natural 460g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,Jam√≥n cocido extra Duroc lonchas artesanas 100g,3 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,NEXT Bacon 200g,6 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,El Pozo sobrasada tarrina 250g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,Asturiana mantequilla tarrina 250g,3 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Complementos,Knorr salsa pesto 185g,2 –≥—Ä–Ω.,https://glovoapp.com/en/bcn/store/super-glovo/collection/151923223/
Cheese Lovers,Quesos,Holland Master Cabra Curado Cu√±a Ya Cortado 175g,"C6,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Quesos,Holland Master Gouda Viejo Cu√±a Ya Cortado 175g,"C4,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Tomate cherry BIO 250g,"C1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Almendras BIO 200g,"C5,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Patatas Fritas Lay's Gourmet 180g,"C2,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Paleta ib√©rica de cebo lonchas 100g,"C7,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Cristallino Pan Cristal Saint Honor√© 6u 285g,"C1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Cristallino 50% Integral 6u 285g,"C2,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas Redondas 100g,"C1,79",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas Integrales 100g,"C1,79",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Tostaditas Finas Hierbas 90g,"C1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Para tapear,Bimbo Mini Tostas rectangulares 100g,"C1,59",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Vino Cune tinto Rioja Reserva 75cl,"C11,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Azpilicueta vino tinto crianza Rioja 75cl,"C8,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Campo Viejo Tinto Reserva 2015 75Cl,"C9,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Vino,Alcorta Crianza 2016 75cl,"C6,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923130/
Cheese Lovers,Quesos,Holland Master Cabra Curado Cu√±a Ya Cortado 175g,"6,29 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Quesos,Holland Master Gouda Viejo Cu√±a Ya Cortado 175g,"4,69 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Para acompa√±ar,Pan Baguette Barra de la Huerta 280g,"1,29 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Para acompa√±ar,La Vieja F√°brica mermelada frambuesa 350g,"1,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Azpilicueta vino tinto crianza Rioja 75cl,"8,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Campo Viejo Tinto Reserva 2015 75Cl,"9,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Alcorta Crianza 2016 75cl,"6,49 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Tinto,Vino tinto Emilio Moro 75cl,"21,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Blanco,Vinio Blanco Alcorta Verdejo 2019 75Cl,"5,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Vino Blanco,Azpilicueta Blanco 2019 75cl,"7,99 Ä",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923228/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Tres Quesos 150g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Emmental 150g,"Ä1,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Quesos,Mill√°n Vicente Queso Rallado Mozzarella 150g,"Ä1,89",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Ternera carne picada 400g,"Ä4,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Guacamole fresco 200g,"Ä2,69",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Tomate Verde ensalada 850g,"Ä2,99",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Cilantro bandeja 45g,"Ä1,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Pimiento california rojo ECO 400g,"Ä3,39",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Ingredientes,Pimiento italiano ECO 500g,"Ä2,49",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
Cheese Lovers,Para beber,Heineken cerveza 8x33cl,"Ä6,29",https://glovoapp.com/en/bcn/store/super-glovo/collection/151923248/
